Date,"('value', 'sum')","('value', 'mean')","('value', 'std')",Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2011-01-01,56763.279152580246,56.991244129096636,119.78836294890613,0.3,0.3,0.292,0.3,2821.24,841.95,0.3
2011-01-02,55045.18266554018,62.83696651317372,164.51306741995606,0.3,0.3,0.289,0.29996999999999996,5352.11,1584.66,0.3
2011-01-03,78046.37994680907,41.53612557041462,142.3919093009753,0.29996999999999996,0.2999,0.29,0.295,1425.19,420.85,0.3
2011-01-04,44639.29554658096,30.28446102210377,100.21284267149255,0.295,0.29986999999999997,0.289,0.29895,1879.0,548.33,0.29
2011-01-05,62163.39046414105,35.995014744725566,247.06054193200174,0.29895,0.299,0.29004,0.299,357.16,106.19,0.3
2011-01-06,43745.95061103016,46.43943801595558,174.4389268368184,0.299,0.299,0.29,0.298,3456.49,1031.28,0.3
2011-01-07,62174.97336902103,32.08202960217803,100.83048274277644,0.298,0.322,0.2975,0.32,42601.12,13152.15,0.31
2011-01-08,61640.09234567074,34.5709996330178,221.5749082121054,0.32,0.3229,0.309,0.3229,1629.44,512.04,0.31
2011-01-09,50238.55119036093,26.52510622511137,119.80012262701052,0.3229,0.32299999999999995,0.32291,0.32299999999999995,1691.37,546.18,0.32
2011-01-10,96131.26586449785,48.55114437600901,434.1261838574279,0.32299999999999995,0.32899999999999996,0.3175,0.32659,10355.83,3360.65,0.32
2011-01-11,117049.4321290683,63.03146587456559,639.5013677254416,0.32659,0.32659,0.31761,0.32659,4857.8,1578.66,0.32
2011-01-12,58082.21141248116,32.55729339264639,85.26541394478859,0.32659,0.3557,0.31799,0.3188,31359.77,10508.17,0.34
2011-01-13,133377.28360913822,69.8676184437602,652.4425933200952,0.3188,0.405,0.3176,0.3176,20118.9,7147.03,0.36
2011-01-14,87598.48653261,49.74360393674616,428.12967783719995,0.3176,0.45,0.3176,0.4,27130.96,10691.11,0.39
2011-01-15,66101.61083761031,42.02263880331234,161.63336224036112,0.4,0.4,0.385,0.386,1515.66,591.15,0.39
2011-01-16,70123.05939532003,49.52193460121471,391.35119240463524,0.386,0.4,0.386,0.38679,2778.71,1085.16,0.39
2011-01-17,71097.87323904005,51.782864704326336,577.7848923770157,0.38679,0.38679,0.315,0.3495,18241.15,6360.69,0.35
